A,B
a737c045-2754-414a-9457-a86a732654b9,8ef01d59-b92e-40f6-bb06-6993a168ecac
a739a3b4-028e-4701-b980-44a997685936,10842eab-be28-4ef1-ab85-1b17855e2a47
a739a3b4-028e-4701-b980-44a997685936,a76312bb-637c-4cdd-beff-34068ca5e29a
a8406fcf-0351-46fd-8e4f-074bbf8f7851,40a29ea5-840f-4e22-bf3e-0f1dda67d862
a8406fcf-0351-46fd-8e4f-074bbf8f7851,57949167-370a-4bc3-856f-4d32a7de942b
ac45ce93-55d2-4375-aacb-02de774cd759,10842eab-be28-4ef1-ab85-1b17855e2a47
ac463b7f-2d1a-4c0c-bf84-88c485fe438c,93b79f93-db72-4563-b0e2-ff8e5142ef88
ad03791c-d0a7-4942-8ea3-aaea23d1c326,4943ba01-66b8-4f2a-9a1b-b38e66436c6a
ad03791c-d0a7-4942-8ea3-aaea23d1c326,8c1fff00-d221-400e-aba5-d1644862e15e
af61145b-ba7d-4d79-81ac-504813a467eb,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
b31fdd27-f2ef-4037-bd25-ea1cb5f25c26,a75064cb-d147-4b36-acaf-89b2c35f4925
b31fdd27-f2ef-4037-bd25-ea1cb5f25c26,aa2dd224-7ab5-4db5-8ffe-56924c27df7a
b6fadc97-c2d5-4bbe-b5c4-c1f7d5817846,9bfab8bd-1778-4284-b9d1-d6148ed656d6
b9a3c500-ac5f-4363-86f8-e8025509c5f7,a5d4beda-c083-4d0c-b67a-e6f4d0ed6814
ba9e8d2c-b6d5-4905-a324-48022cfa7dc7,7af59c11-a14c-4969-b3b7-5a99a91144de
ba9e8d2c-b6d5-4905-a324-48022cfa7dc7,8d001ad6-af2f-47a6-8ffc-02a31313f961
c10acbb2-ab7a-4335-a8f8-d24da4fd92e3,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
c12864ed-f0db-4c71-a8cf-0d63e8953e80,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
c12864ed-f0db-4c71-a8cf-0d63e8953e80,af5baed8-1fcd-440f-8de2-ef1c57c12fe0
c5668c5c-90fd-4ca4-875c-809c7d90920c,9a57425c-de0d-4553-bf4f-9222772c4914
c5668c5c-90fd-4ca4-875c-809c7d90920c,fcd80738-202f-4cee-91b0-f8b137d80377
c5b9f344-b4c8-44f1-8cea-6212ff4c2296,624299d8-50ef-4a58-b4d8-b9dcc1c01f15
c5b9f344-b4c8-44f1-8cea-6212ff4c2296,684c3b2d-7ed7-4071-b714-c09c3bd8bf12
d4d546dc-8d9e-4924-adf8-b5c360ce8570,c82a3152-8ce7-49c0-828c-548181c77ad1
d50b6606-93ec-4005-8b3d-c9d7f209acd6,10842eab-be28-4ef1-ab85-1b17855e2a47
d50b6606-93ec-4005-8b3d-c9d7f209acd6,a76312bb-637c-4cdd-beff-34068ca5e29a
d6e0ff49-bc1d-47d4-9ab4-f108ab0be32a,0d785a07-5d1d-4635-b8e4-80895c6824b3
de69f046-2e3c-4d43-aff3-517e5043d0a1,7af59c11-a14c-4969-b3b7-5a99a91144de
de69f046-2e3c-4d43-aff3-517e5043d0a1,8d001ad6-af2f-47a6-8ffc-02a31313f961
def70e85-3b16-49aa-8859-8ec527d0b5a8,be2fdca4-39d1-4fee-8654-8cd17a3f7307
dfe5ce81-50bc-4593-913b-c2e8c26aca4a,fcd80738-202f-4cee-91b0-f8b137d80377
e5737a44-240a-4d28-ab52-a84804a05335,9bfab8bd-1778-4284-b9d1-d6148ed656d6
ec32a69c-5759-4cf0-b737-6bea8e09090d,10842eab-be28-4ef1-ab85-1b17855e2a47
ec32a69c-5759-4cf0-b737-6bea8e09090d,a76312bb-637c-4cdd-beff-34068ca5e29a
ed59043a-cf42-46dc-9000-0377168a24d5,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
ed59043a-cf42-46dc-9000-0377168a24d5,af5baed8-1fcd-440f-8de2-ef1c57c12fe0
f0b7d33f-4c85-446d-a7b8-edb9326b72ad,93b79f93-db72-4563-b0e2-ff8e5142ef88
f0b7d33f-4c85-446d-a7b8-edb9326b72ad,f0bff14b-9b86-430c-b060-e19d9fd3d575
f11b680d-c64b-4a12-8897-4261c683e070,9a57425c-de0d-4553-bf4f-9222772c4914
f11b680d-c64b-4a12-8897-4261c683e070,fcd80738-202f-4cee-91b0-f8b137d80377
f9d837da-0ce6-4dcc-ba8c-4cccfc1737a5,8d001ad6-af2f-47a6-8ffc-02a31313f961
fbd4d567-0bf1-4609-b335-a26a9936085e,a083cc3c-dd4f-462f-ae98-08afee0c7eb6
fc5eda10-0ddd-4cd6-9e85-9d7d46676e83,fcd80738-202f-4cee-91b0-f8b137d80377
fe82d630-0dfe-4d9d-9149-68eb5d1385ad,be2fdca4-39d1-4fee-8654-8cd17a3f7307
fe82d630-0dfe-4d9d-9149-68eb5d1385ad,cf154bc2-04f0-4d84-9170-fdb46ff5614e
feb30a46-f5c9-4baf-8bef-c5b288b2eced,57949167-370a-4bc3-856f-4d32a7de942b
